designation,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_pseudo_colour,astrometric_pseudo_colour_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,l,b,ecl_lon,ecl_lat
Gaia DR2 4291117497773972736,2015.5,293.1762555427329,0.3700161881299719,4.621934181614092,0.3361997176295526,-0.20732563209305443,0.44727992034969277,-2.0445199077984784,0.8037925920093281,-4.604110562071688,0.60628276931148,1.527493263583263,0.07043445822999193,19.599327,,,41.80621624730079,-7.014844578767242,295.87849288316136,26.002973667531357
Gaia DR2 4291117188535444992,2015.5,293.0957009480528,0.8883102424293685,4.5978341664788385,1.0158108591310409,0.20550328880106436,0.5507298068989057,-0.9572959184024816,2.017316898071378,-0.9451830621854137,1.964222633073044,1.3446534265666468,0.08346857927831763,19.798794,,,41.746712643811776,-6.9553498470051744,295.78585751922196,25.993203011844784
Gaia DR2 4291152029316236032,2015.5,293.47119964612034,0.5815076096434258,4.877270017964282,0.44799804833008455,1.6270041438474876,0.7272907870525785,-2.9667384950194844,1.182159988268507,-3.4848244034049833,0.8898159535492223,1.329325337502433,0.10534881402088771,20.107948,,,42.17275972028851,-7.153701829791413,296.25060224285556,26.20280294476959
Gaia DR2 4291152304194348800,2015.5,293.45249890759266,0.4341969901583291,4.89071860053,0.33611653921931933,0.912333598294893,0.5470977198612651,-3.4932699708102435,0.8700766379321216,-3.6091964005660007,0.673204575842412,1.5832417172328594,0.07935914253671647,19.70707,,,42.175846992906834,-7.130927652996536,296.23280603529656,26.219329438535624
Gaia DR2 4291152402970374400,2015.5,293.45973123611566,0.40743340704855724,4.9005715956999865,0.31902181331414614,0.5015677924654987,0.4876388269981268,-2.0241953300698774,0.8325941151145377,-4.884279009785904,0.6616837114312233,1.6074788337410075,0.07420193482529998,19.644627,,,42.18802871331118,-7.13263062846328,296.242651196325,26.22775590112095
Gaia DR2 4291131409177240832,2015.5,293.678417697181,0.11525007390563242,4.699315697506729,0.08383797437581648,0.13575902156429925,0.1407229289124417,0.5869486476118121,0.2290121902855132,-5.143075640197404,0.16818505347390292,1.5739896310853945,0.023386902483719357,17.6882,,,42.11286224217986,-7.419742881206095,296.441799050517,25.991082713143438
Gaia DR2 4291146046418569088,2015.5,293.42331159665855,0.2573717598614832,4.8500195919006694,0.18497105129357935,0.0727532804585164,0.3001209214208588,-1.6091206844696444,0.5279835019709902,-3.457133843023642,0.38849247220404287,1.5534388041695886,0.043498253678420876,19.049623,,,42.12585485459824,-7.124490873708489,296.1929027641005,26.18439643148074
Gaia DR2 1346167686870363136,2015.5,268.9833999569686,0.11419218346327112,42.96898404808528,0.2104988579576053,0.7680948859427987,0.1610783262731447,-0.2551332517376016,0.24492874363805098,-4.342841161624234,0.32371563400353803,1.5866238050534571,0.030519637027042898,16.568316,,,69.48166394096815,27.838315957029607,268.14162085762877,66.40170709844098
Gaia DR2 6253589382187410176,2015.5,232.92192743416362,0.09648580357203299,-20.67695665088414,0.06422299988354606,1.0531039358626797,0.11087918831712672,-8.201138283861713,0.17537854073895917,5.688207053969848,0.13382386305911606,1.43295623311395,0.02164156531797161,16.98798,,,346.1533832430455,28.441680255772617,235.6481294849586,-1.5501058180665144
Gaia DR2 6253615701740243200,2015.5,232.54060264258572,0.6396852621406611,-20.69254218628856,0.3937641645763062,0.7900233439996461,0.6882476213102915,5.188271983817282,1.2346849285678907,1.1027384087051486,0.8637608205019569,1.2416635330735244,0.13755649514381613,19.823374,,,345.8330614687892,28.66154881500497,235.30551984931304,-1.6511963195743156
